NAME,TYPE,TEAM,TEAM_ID,SITE_ID,annual_mean_temperature,diurnal_temperature_range,temperature_seasonality,annual_precipitation,precipitation_seasonality,KG_climate_classification,human_footprint_index,human_influence_index,population_density,night_light,esa_worldcover_50,esa_worldcover_500,elevation
Wurzburg_Urban,Urban,Wurzburg,21,690,9.35,7.7,6.57,607,13,10,32.9,59.6,13.771,11.5703,50,30,277
Wurzburg_Natural,Natural,Wurzburg,21,593,8.59,7.75,6.44,758.5,13.4,19,9.3,28.8,0,0.0844,10,10,424
Berchtesgaden_Urban,Urban,Berchtesgaden,23,692,8.01,9.7,7.28,1506.5,30.2,19,32.9,42,6.468,3.4091,30,10,597
Berchtesgaden_Natural,Natural,Berchtesgaden,23,595,6.2,9.89,7.09,2296.1,29.6,19,7,14,0.338,0,10,10,888
Thailand_Urban,Urban,Thailand,25,694,25.52,9.2,2.87,1844.1,85.5,4,14,21.4,0.418,0.869,20,10,408
Thailand_Natural,Natural,Thailand,25,597,25.75,9.2,2.91,1261,84.9,4,21,22,0.209,0.9242,10,10,403
Fetsund,Nordic,Fetsund,26,783,6.02,6.9,7.5,823.6,25.2,19,42.3,46,5.144,15.145,10,10,134
Tartu_Urban,Urban,Tartu,27,695,5.77,6.3,8.03,700.7,32.7,19,35.2,50.7,10.362,40.2901,30,50,77
Tartu_Natural,Natural,Tartu,27,598,5.8,6.4,8.03,716.2,31.6,19,19.1,33.5,0.001,0.6438,10,40,69
Moncton_Urban,Urban,Moncton,29,697,5.77,8.22,9.45,1307.6,8.4,19,13.6,31,0,0.6861,10,10,67
Moncton_Natural,Natural,Moncton,29,600,5.78,8.22,9.45,1307.3,8.4,19,13.6,31,0,0.6492,10,10,66
Aberystwyth_Natural,Natural,Aberystwyth,30,601,8.45,6,3.96,2044.3,26.9,10,13.1,30,0.027,0,30,30,339
Aberystwyth_Urban,Urban,Aberystwyth,30,698,9.95,5.26,3.84,1576.2,24.4,10,32.3,46.8,24.539,8.8903,10,10,89
Cordoba_Urban,Urban,Cordoba,32,699,17.21,10.5,4.82,933.7,73.2,15,32.4,39.8,46.268,60.5137,10,50,430
Cordoba_Natural,Natural,Cordoba,32,602,14.94,10.1,4.5,1185.3,73.7,16,13.6,17,0.011,0.3963,10,10,852
Ecuador_Urban,Urban,Ecuador,33,700,24.85,6.1,0.57,3210.3,18.5,1,33,37.5,62.91,34.2974,50,50,254
Ecuador_Natural,Natural,Ecuador,33,603,24.88,6.1,0.61,3084.4,19.6,1,3.7,6,0,0,10,10,228
Parakou_Natural,Natural,Parakou,34,604,26.61,11.1,1.55,1256.9,89,4,7.5,21.5,0,0,10,10,344
Parakou_Urban,Urban,Parakou,34,701,26.44,11.2,1.59,1228.5,87.9,4,37.1,50.1,79.621,11.3555,50,50,365
Kerala_Natural,Natural,Kerala,35,605,26.51,7.2,0.85,2269.8,59.1,2,9,14,0.868,0,10,10,120
Kerala_Urban,Urban,Kerala,35,702,26.52,4.18,0.69,1970.3,61.8,4,36.9,52.6,124.093,12.8528,10,10,37
FrenchAntarctic_Natural,Natural,FrenchAntarctic,37,607,4.12,5.3,2.01,759.4,13.1,30,NA,NA,NA,0,30,30,3
FrenchAntarctic_Urban,Urban,FrenchAntarctic,37,704,4.07,5.21,2,783.6,13.1,30,NA,NA,NA,0,30,60,16
Zackenberg_Natural,Natural,Zackenberg,40,610,-11.28,4.3,9.59,336,34.5,30,0,4,0,0,90,90,39
Louisiana_Natural,Natural,Louisiana,41,611,19.66,9.5,6.05,1707,13.1,9,3,14,0,0,10,10,16
Louisiana_Urban,Urban,Louisiana,41,707,19.72,9.3,6,1857,13.9,9,34.9,49.9,5.176,22.8304,10,10,9
Dnipro_Natural,Natural,Dnipro,42,612,8.96,7.7,9.42,521.6,16.5,19,11.3,22.3,0,0,10,10,100
Dnipro_Urban,Urban,Dnipro,42,708,8.92,7.7,9.39,537,15.9,19,18.4,37.5,0.094,0,10,10,99
Armidale_Natural,Natural,Armidale,43,613,11.96,10,4.73,844.1,30.5,10,3,5.2,0.014,0,10,10,1187
Armidale_Urban,Urban,Armidale,43,709,13.02,10.13,4.72,777.1,31.3,10,18.9,39.6,1.416,6.8072,30,30,1053
StLouis_Natural,Natural,StLouis,44,614,13.26,9.8,9.09,1145.9,21.1,18,36.7,42,0,0.7721,10,10,207
StLouis_Urban,Urban,StLouis,44,710,13.35,9.6,9.22,1145.6,21.6,18,37.9,60,13.567,39.9456,10,10,174
Lebanon_Natural,Natural,Lebanon,45,615,10.39,8.18,6.39,1526.4,93.1,13,10.7,22,0.018,0,30,30,1625
Lebanon_Urban,Urban,Lebanon,45,711,12.9,9.75,6.39,1214.2,96.7,13,37,38.7,11.052,5.574,10,10,1183
Malakand_Natural,Natural,Malakand,47,617,18.97,13.1,7.84,842.4,52.7,12,16,15,0.082,0,20,20,847
Malakand_Urban,Urban,Malakand,47,713,19.52,13.5,7.72,1042.7,50.8,9,22,31,235.368,3.7608,50,50,727
RhineMain_Natural,Natural,RhineMain,48,618,8.07,7.28,6.24,1047.9,13.3,19,8,14,0,0,10,10,480
RhineMain_Urban,Urban,RhineMain,48,714,9.97,7.48,6.63,877.1,10.7,10,37.4,45.9,29.273,13.7374,50,50,134
Zobelboden_Natural,Natural,Zobelboden,50,619,6.87,9.1,7.02,1285.8,26,19,5,18,0,0,10,10,834
Zobelboden_Urban,Urban,Zobelboden,50,715,8.73,9,7.23,1213.3,25.5,19,6,25.3,2.282,1.9586,10,10,477
Peru_Natural,Natural,Peru,52,621,25.45,7.5,0.42,2166,41.4,1,2,7.8,0.013,0,10,10,232
Peru_Urban,Urban,Peru,52,717,25.49,7.6,0.43,2246.1,41.7,1,3,7.7,17.566,1.728,50,10,208
BaixoSabor_Natural,Natural,BaixoSabor,53,622,13.37,10,5.86,748.6,47.7,13,2.1,21,0,0,10,20,620
BaixoSabor_Urban,Urban,BaixoSabor,53,718,13.62,10.7,5.74,708.6,48.7,13,6.2,18,0.082,0.7964,10,30,549
Czechia_Natural,Natural,Czechia,54,623,5.64,8,6.43,892.2,35.4,20,7.4,18,0.114,0,10,10,1016
Czechia_Urban,Urban,Czechia,54,719,9.01,8.1,7.11,606.8,40.4,19,35.3,58.8,26.962,16.6942,30,50,396
