Name;Station;Time(norwegian mean time);Snow depth
Ny-ålesund;SN99910;01.01.2009;0
Ny-ålesund;SN99910;02.01.2009;0
Ny-ålesund;SN99910;03.01.2009;0
Ny-ålesund;SN99910;04.01.2009;0
Ny-ålesund;SN99910;05.01.2009;0
Ny-ålesund;SN99910;06.01.2009;0
Ny-ålesund;SN99910;07.01.2009;53
Ny-ålesund;SN99910;08.01.2009;41
Ny-ålesund;SN99910;09.01.2009;45
Ny-ålesund;SN99910;10.01.2009;48
Ny-ålesund;SN99910;11.01.2009;51
Ny-ålesund;SN99910;12.01.2009;51
Ny-ålesund;SN99910;13.01.2009;51
Ny-ålesund;SN99910;14.01.2009;53
Ny-ålesund;SN99910;15.01.2009;72
Ny-ålesund;SN99910;16.01.2009;72
Ny-ålesund;SN99910;17.01.2009;55
Ny-ålesund;SN99910;18.01.2009;54
Ny-ålesund;SN99910;19.01.2009;74
Ny-ålesund;SN99910;20.01.2009;74
Ny-ålesund;SN99910;21.01.2009;55
Ny-ålesund;SN99910;22.01.2009;50
Ny-ålesund;SN99910;23.01.2009;50
Ny-ålesund;SN99910;24.01.2009;74
Ny-ålesund;SN99910;25.01.2009;75
Ny-ålesund;SN99910;26.01.2009;75
Ny-ålesund;SN99910;27.01.2009;54
Ny-ålesund;SN99910;28.01.2009;54
Ny-ålesund;SN99910;29.01.2009;50
Ny-ålesund;SN99910;30.01.2009;44
Ny-ålesund;SN99910;31.01.2009;54
Ny-ålesund;SN99910;01.02.2009;55
Ny-ålesund;SN99910;02.02.2009;58
Ny-ålesund;SN99910;03.02.2009;55
Ny-ålesund;SN99910;04.02.2009;55
Ny-ålesund;SN99910;05.02.2009;55
Ny-ålesund;SN99910;06.02.2009;54
Ny-ålesund;SN99910;07.02.2009;54
Ny-ålesund;SN99910;08.02.2009;54
Ny-ålesund;SN99910;09.02.2009;54
Ny-ålesund;SN99910;10.02.2009;54
Ny-ålesund;SN99910;11.02.2009;54
Ny-ålesund;SN99910;12.02.2009;55
Ny-ålesund;SN99910;13.02.2009;56
Ny-ålesund;SN99910;14.02.2009;60
Ny-ålesund;SN99910;15.02.2009;62
Ny-ålesund;SN99910;16.02.2009;63
Ny-ålesund;SN99910;17.02.2009;64
Ny-ålesund;SN99910;18.02.2009;61
